fold,mode,station,target,pred
1,centroid,WE4,2.584752,1.8739349
1,centroid,WE4,1.6014057,1.3969313
1,centroid,WE4,1.9257075,1.7842699
1,centroid,WE4,1.5173227,2.0727525
1,centroid,WE4,3.3046865,3.5198615
1,centroid,WE4,1.286474,3.0819268
1,centroid,WE4,2.3233676,3.4106722
1,centroid,WE4,4.7934737,3.30535
1,centroid,WE4,1.7316556,2.764596
1,centroid,WE15,5.404163,2.8392732
1,centroid,WE4,2.0135689,3.6173134
1,centroid,WE15,3.9276996,3.4601943
1,centroid,WE4,2.7479117,3.4823313
1,centroid,WE15,3.8086605,2.8246162
1,centroid,WE4,1.2470323,1.1480392
1,centroid,WE15,1.7800242,1.2227441
1,centroid,WE4,1.6524973,2.2612448
1,centroid,WE9,3.9007597,3.5419247
1,centroid,WE15,2.22029,2.0824006
1,centroid,WE4,1.5993876,1.8993449
1,centroid,WE9,2.1459312,3.2898788
1,centroid,WE15,0.9400072,2.1347468
