fold,mode,station,target,pred
0,support,WE2,2.4612968,2.2635896
0,support,WE8,1.9080598,2.1506686
0,support,WE2,2.4362416,1.7883358
0,support,WE8,1.5665305,1.7068515
0,support,WE2,3.6985822,2.095429
0,support,WE8,3.6111882,1.4373732
0,support,WE2,3.3357697,2.7039392
0,support,WE8,3.1717842,1.9298873
0,support,WE2,3.0805328,3.6775472
0,support,WE8,3.7570052,3.5859966
0,support,WE2,2.6130066,3.422865
0,support,WE8,3.9813626,2.7194083
0,support,WE2,4.2140517,3.2836976
0,support,WE8,4.7064624,3.0076604
0,support,WE2,2.0268316,3.652702
0,support,WE8,3.2039652,2.9142678
0,support,WE14,1.9558605,3.300568
0,support,WE2,2.3997118,3.4635093
0,support,WE8,4.2259574,2.4042885
0,support,WE14,2.270062,3.101531
0,support,WE2,4.216857,3.8463995
0,support,WE8,4.2889514,3.3400679
0,support,WE14,3.8409567,3.5562809
0,support,WE2,3.7388594,3.853831
0,support,WE8,3.6224725,3.5029006
0,support,WE14,3.7230394,3.0813558
0,support,WE8,1.512927,1.5626485
0,support,WE2,3.1650531,2.8718057
0,support,WE8,2.791165,2.05299
0,support,WE2,1.8245493,2.4247992
0,support,WE8,1.160021,2.217919
