Station,n,lat_median,lon_median,chl_median,chl_max
WE12,58,41.7037,-83.2564,12.865,190.08
WE13,55,41.7423,-83.1371,10.62,172.8
WE14,14,41.718450000000004,-83.01615000000001,39.629999999999995,58.82
WE15,29,41.6177,-83.0124,8.86,221.33
WE2,57,41.7641,-83.3309,12.64,187.01
WE2014.1,1,41.7152,-83.3287,51.2,51.2
WE2014.2,1,41.676,-83.2388,69.44,69.44
WE4,54,41.8264,-83.1939,5.905,119.72
WE6,58,41.710300000000004,-83.3815,34.015,352.64
WE8,58,41.8342,-83.3612,17.564999999999998,6784.0
WE9,16,41.717749999999995,-83.42235,42.7,87.88
