block_width,t,method,rmse
9,0,Support-aware,0.2727404792256586
9,0,PostAgg,0.31162079007785703
9,0,Centroid,0.4682573699479432
9,1,Support-aware,0.1272413091115413
9,1,PostAgg,0.13923879271013737
9,1,Centroid,0.20072792724301217
9,2,Support-aware,0.29759559273818154
9,2,PostAgg,0.30339476417977285
9,2,Centroid,0.43429679012753103
9,3,Support-aware,0.3004680895220118
9,3,PostAgg,0.30930151142044354
9,3,Centroid,0.4735730505010207
9,4,Support-aware,0.495258424709065
9,4,PostAgg,0.4878364145448721
9,4,Centroid,0.5674169612929804
9,5,Support-aware,0.29050656800500296
9,5,PostAgg,0.27393479283903277
9,5,Centroid,0.43551366034749794
9,6,Support-aware,0.19461123809970116
9,6,PostAgg,0.20120440423349395
9,6,Centroid,0.2656978042163324
9,7,Support-aware,0.22705442908013093
9,7,PostAgg,0.2156263621812885
9,7,Centroid,0.35332399608998993
9,8,Support-aware,0.2051010847762402
9,8,PostAgg,0.16336639449168971
9,8,Centroid,0.21599816855262124
9,9,Support-aware,0.26250018566880035
9,9,PostAgg,0.21152774922981618
9,9,Centroid,0.4046937849597055
9,10,Support-aware,0.2059921352068956
9,10,PostAgg,0.1910733083142269
9,10,Centroid,0.2623843705450866
9,11,Support-aware,0.20931787757410025
9,11,PostAgg,0.19329134495689404
9,11,Centroid,0.21042025213966933
9,12,Support-aware,0.23259316486469575
9,12,PostAgg,0.20483944404945673
9,12,Centroid,0.2733851199721723
9,15,Support-aware,0.4996484711232594
9,15,PostAgg,0.42307476431510715
9,15,Centroid,0.4830060275873832
9,16,Support-aware,0.41506226103081095
9,16,PostAgg,0.381933381215542
9,16,Centroid,0.3803996208412484
9,17,Support-aware,0.366658355134173
9,17,PostAgg,0.37548774578161753
9,17,Centroid,0.3583049635376286
9,18,Support-aware,0.23419722569985615
9,18,PostAgg,0.18627327262963758
9,18,Centroid,0.21073048408849687
9,19,Support-aware,0.21536969377492632
9,19,PostAgg,0.20361582126116562
9,19,Centroid,0.301239222863407
9,20,Support-aware,0.08554750106638723
9,20,PostAgg,0.1266986867170557
9,20,Centroid,0.15166042559553278
9,21,Support-aware,0.31761871446403955
9,21,PostAgg,0.34795825584358897
9,21,Centroid,0.44941279070290824
9,22,Support-aware,0.23499882360818045
9,22,PostAgg,0.25254625110127676
9,22,Centroid,0.31464516976007323
9,23,Support-aware,0.34817466617605036
9,23,PostAgg,0.32450036674632216
9,23,Centroid,0.38417050739453157
9,24,Support-aware,0.27218387723763765
9,24,PostAgg,0.2791467254985496
9,24,Centroid,0.34316977529186715
9,25,Support-aware,0.3014703989226289
9,25,PostAgg,0.34238285175920624
9,25,Centroid,0.5626070501336637
9,26,Support-aware,0.251788378189688
9,26,PostAgg,0.30038891475405244
9,26,Centroid,0.27620133849121625
9,27,Support-aware,0.29965677028271354
9,27,PostAgg,0.3310091972881146
9,27,Centroid,0.4251596207388137
9,28,Support-aware,0.22022509889064196
9,28,PostAgg,0.24341929299771134
9,28,Centroid,0.41482207260008874
9,29,Support-aware,0.25688358025638963
9,29,PostAgg,0.27546503222543645
9,29,Centroid,0.44054260812757384
9,30,Support-aware,0.23719803661361014
9,30,PostAgg,0.29326478365631387
9,30,Centroid,0.4258809280285954
9,31,Support-aware,0.29898667806575624
9,31,PostAgg,0.3135731445490181
9,31,Centroid,0.5604310018884414
9,32,Support-aware,0.5631287794719356
9,32,PostAgg,0.5863507154325721
9,32,Centroid,0.6790300939955921
9,33,Support-aware,0.6432368260299641
9,33,PostAgg,0.7063412062415106
9,33,Centroid,0.8127115029199876
9,34,Support-aware,0.43473948394547685
9,34,PostAgg,0.4409765464854366
9,34,Centroid,0.5521049203728237
9,35,Support-aware,0.6113344332997512
9,35,PostAgg,0.6073758399166287
9,35,Centroid,0.7151763055533398
9,36,Support-aware,0.19054699293989696
9,36,PostAgg,0.21293594603054417
9,36,Centroid,0.31497112607006417
9,37,Support-aware,0.3448263862718211
9,37,PostAgg,0.3437641478273705
9,37,Centroid,0.5175763303094782
9,38,Support-aware,0.2712391919443427
9,38,PostAgg,0.2289507490659342
9,38,Centroid,0.34214816803877934
9,39,Support-aware,0.2989344601376213
9,39,PostAgg,0.3726677097961377
9,39,Centroid,0.5904101731406751
9,40,Support-aware,0.3154671347790448
9,40,PostAgg,0.309403060492547
9,40,Centroid,0.46937562512950265
9,41,Support-aware,0.39556570352947085
9,41,PostAgg,0.42956504329839307
9,41,Centroid,0.5760978377814615
9,42,Support-aware,0.3606490270491418
9,42,PostAgg,0.36901620197648743
9,42,Centroid,0.5879623397526879
9,43,Support-aware,0.36576661501058216
9,43,PostAgg,0.37249574398163926
9,43,Centroid,0.5998748890040683
9,44,Support-aware,0.41702771043150494
9,44,PostAgg,0.396767132615359
9,44,Centroid,0.6000363912251409
9,45,Support-aware,0.2081293706390752
9,45,PostAgg,0.21650321902469483
9,45,Centroid,0.22726030925851293
9,46,Support-aware,0.41334383129430613
9,46,PostAgg,0.4086342023752904
9,46,Centroid,0.5873130793829379
9,47,Support-aware,0.49427129434128786
9,47,PostAgg,0.4722325732977187
9,47,Centroid,0.6164195534350664
9,48,Support-aware,0.625121146200764
9,48,PostAgg,0.5665079295639384
9,48,Centroid,0.7140560988113432
9,49,Support-aware,0.45913915658312815
9,49,PostAgg,0.4644745952709797
9,49,Centroid,0.5495967836074993
9,50,Support-aware,0.19589017103850567
9,50,PostAgg,0.19227738582645826
9,50,Centroid,0.316075977936445
9,51,Support-aware,0.5139279348544038
9,51,PostAgg,0.45220810537774925
9,51,Centroid,0.5386752326532772
9,52,Support-aware,0.42844864959545215
9,52,PostAgg,0.47885695958286445
9,52,Centroid,0.7195923873314867
9,53,Support-aware,0.41619648321496494
9,53,PostAgg,0.5266915791994768
9,53,Centroid,0.7620503480916255
9,54,Support-aware,0.18846770747720368
9,54,PostAgg,0.26750185733849474
9,54,Centroid,0.3483156311724904
9,55,Support-aware,0.1991592926205522
9,55,PostAgg,0.2081698065473875
9,55,Centroid,0.2897704138967715
9,56,Support-aware,0.2213370423068032
9,56,PostAgg,0.2504371336555917
9,56,Centroid,0.341716520645303
9,57,Support-aware,0.11398610454901398
9,57,PostAgg,0.13941815268680494
9,57,Centroid,0.33477882149538296
9,58,Support-aware,0.2671666408733337
9,58,PostAgg,0.32607440522253806
9,58,Centroid,0.4057937680598796
9,59,Support-aware,0.2081318159746454
9,59,PostAgg,0.1791785554080334
9,59,Centroid,0.21167720661588185
9,60,Support-aware,0.26827971930703637
9,60,PostAgg,0.31792292222386376
9,60,Centroid,0.4596456884847985
9,61,Support-aware,0.17569075295804715
9,61,PostAgg,0.18301201660809255
9,61,Centroid,0.269528715511604
9,62,Support-aware,0.24401848121592534
9,62,PostAgg,0.24943999689932025
9,62,Centroid,0.3840973082903567
9,63,Support-aware,0.23192737902288588
9,63,PostAgg,0.26118971085127335
9,63,Centroid,0.3988046282890743
9,64,Support-aware,0.304494419373004
9,64,PostAgg,0.2967036090707829
9,64,Centroid,0.3910799115056304
9,65,Support-aware,0.4687266380903883
9,65,PostAgg,0.5886220049627346
9,65,Centroid,0.7940594333728581
9,66,Support-aware,0.3990884074444057
9,66,PostAgg,0.46845536135453614
9,66,Centroid,0.6889051439684465
9,67,Support-aware,0.4748262319366804
9,67,PostAgg,0.5737658717238938
9,67,Centroid,0.760068018486984
9,68,Support-aware,0.5584219153985028
9,68,PostAgg,0.657577266686174
9,68,Centroid,0.8703892397526656
9,69,Support-aware,1.063115886107232
9,69,PostAgg,1.1269019313269035
9,69,Centroid,1.2575556043805478
9,70,Support-aware,0.5437143258193996
9,70,PostAgg,0.6669210594544899
9,70,Centroid,0.8823746423851773
9,71,Support-aware,0.587172784515438
9,71,PostAgg,0.6191640650797049
9,71,Centroid,0.8316098288127296
9,72,Support-aware,0.44298036146948316
9,72,PostAgg,0.4872090369109543
9,72,Centroid,0.6920073291162228
9,73,Support-aware,0.3913824267251244
9,73,PostAgg,0.4881618952289679
9,73,Centroid,0.7090458421398487
9,74,Support-aware,0.5158573829507257
9,74,PostAgg,0.5485880128292363
9,74,Centroid,0.699361249735756
9,75,Support-aware,0.4998223491507611
9,75,PostAgg,0.5126499563883177
9,75,Centroid,0.5847705316266749
9,76,Support-aware,0.468285597168478
9,76,PostAgg,0.49755935743763907
9,76,Centroid,0.7275650558230697
9,77,Support-aware,0.3838117001770081
9,77,PostAgg,0.3869985487149559
9,77,Centroid,0.4207054240023738
9,78,Support-aware,0.3887250763630708
9,78,PostAgg,0.40552859634715555
9,78,Centroid,0.5567002633101246
9,79,Support-aware,0.4454804440924244
9,79,PostAgg,0.5300930412170125
9,79,Centroid,0.7231991171995886
9,80,Support-aware,0.5187193207159528
9,80,PostAgg,0.5788035924060962
9,80,Centroid,0.7639022177301824
9,81,Support-aware,0.4773370870794958
9,81,PostAgg,0.5303532551930124
9,81,Centroid,0.7018114230516226
9,82,Support-aware,0.39873831867782866
9,82,PostAgg,0.4708172848209646
9,82,Centroid,0.6225986190977632
9,83,Support-aware,0.7134193813143761
9,83,PostAgg,0.7305798629141202
9,83,Centroid,0.8068816578411844
9,84,Support-aware,0.8796450782875745
9,84,PostAgg,0.9163700085360299
9,84,Centroid,0.9777384553913246
9,85,Support-aware,0.4180106143381538
9,85,PostAgg,0.4630682180562992
9,85,Centroid,0.6428031011902674
9,86,Support-aware,0.661155544049382
9,86,PostAgg,0.6660770655347927
9,86,Centroid,0.8451442174277648
9,87,Support-aware,0.2670013118211124
9,87,PostAgg,0.25732545613079666
9,87,Centroid,0.3690359110905128
9,88,Support-aware,0.23030626575423396
9,88,PostAgg,0.23359037051057704
9,88,Centroid,0.37662499726635196
9,89,Support-aware,0.18715926691384296
9,89,PostAgg,0.2502505582061603
9,89,Centroid,0.4340737952533597
9,90,Support-aware,0.112892181323834
9,90,PostAgg,0.11646978165516561
9,90,Centroid,0.20429557599546672
9,91,Support-aware,0.15494663596113536
9,91,PostAgg,0.18533950680567682
9,91,Centroid,0.3322161394389381
9,92,Support-aware,0.14664678694423497
9,92,PostAgg,0.17271175781926315
9,92,Centroid,0.2983533007459159
9,93,Support-aware,0.15634470965767439
9,93,PostAgg,0.14730769200992902
9,93,Centroid,0.2406219213289248
