t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,2.8246202,3.6431913,3.6431913,31,52,31,52,-0.3153646,0.039453126
0,2014-05-24 18:45:00+00:00,2.7105577,2.8627825,2.8627825,31,52,52,73,0.026302084,0.02890625
0,2014-05-24 18:45:00+00:00,1.7852062,2.091213,2.091213,31,52,94,115,0.73333335,0.025000002
0,2014-05-24 18:45:00+00:00,2.6939673,3.1030483,3.1030483,52,73,10,31,-0.6283854,0.4699219
0,2014-05-24 18:45:00+00:00,2.4296918,2.0793407,2.0793407,52,73,31,52,-0.32447916,0.54609376
0,2014-05-24 18:45:00+00:00,2.2324107,1.9709154,1.9709154,52,73,73,94,0.37604165,0.5375
1,2014-05-25 17:50:00+00:00,1.5262896,0.93916464,0.93916464,10,31,94,115,0.72838545,-0.47109377
1,2014-05-25 17:50:00+00:00,2.0722983,2.5016737,2.5016737,31,52,10,31,-0.6455729,0.11367187
1,2014-05-25 17:50:00+00:00,1.5576886,1.9253104,1.9253104,31,52,31,52,-0.30885416,0.04140625
1,2014-05-25 17:50:00+00:00,1.6731858,1.552944,1.552944,31,52,52,73,0.014322916,0.032421876
1,2014-05-25 17:50:00+00:00,1.5761608,1.6894073,1.6894073,31,52,73,94,0.3919271,0.013281252
1,2014-05-25 17:50:00+00:00,1.3194256,1.5558652,1.5558652,31,52,94,115,0.73333335,0.025000002
1,2014-05-25 17:50:00+00:00,1.6161884,1.3542073,1.3542073,52,73,31,52,-0.31328124,0.54296875
1,2014-05-25 17:50:00+00:00,1.5605335,1.0622826,1.0622826,52,73,52,73,0.032812502,0.5121094
1,2014-05-25 17:50:00+00:00,1.6087995,1.4107198,1.4107198,52,73,73,94,0.38489583,0.53867185
1,2014-05-25 17:50:00+00:00,1.4235668,1.3832176,1.3832176,52,73,94,115,0.7497396,0.5289062
2,2014-05-30 18:05:00+00:00,2.0620258,1.1126723,1.1126723,10,31,94,115,0.73307294,-0.4765625
2,2014-05-30 18:05:00+00:00,3.3658736,2.971362,2.971362,31,52,10,31,-0.6453125,0.11953125
2,2014-05-30 18:05:00+00:00,1.8453628,2.3833375,2.3833375,31,52,31,52,-0.30625,0.041796874
2,2014-05-30 18:05:00+00:00,1.9533864,1.8934904,1.8934904,31,52,52,73,0.029166669,0.02890625
2,2014-05-30 18:05:00+00:00,1.8367482,2.0478156,2.0478156,31,52,73,94,0.38229167,0.011718751
