block_width,method,rmse,mae,corr
9,Support-aware,0.38705961706466685,0.27285472342256695,0.8841406133662126
9,PostAgg,0.4083636871014565,0.28720556290718036,0.8704265470910668
9,Centroid,0.5448348710469173,0.3891000167425569,0.7762535385652414
13,Support-aware,0.3817057743265721,0.28150102018163464,0.885662700141299
13,PostAgg,0.4309962763872103,0.3033910028960646,0.8464619399031624
13,Centroid,0.5258369402296436,0.38513719469727553,0.7755762982274823
17,Support-aware,0.48328432301836544,0.36184590252804144,0.8236658773782128
17,PostAgg,0.6308363056984847,0.46812230553062983,0.7399239138990074
17,Centroid,0.8840979814635316,0.6988738600776531,0.6039297957267611
21,Support-aware,0.5272248456999995,0.38889321363772456,0.8494349284732629
21,PostAgg,0.6032475579527613,0.4691716306736527,0.8394694760425402
21,Centroid,0.8416933458485909,0.6776055684580838,0.767191160698355
