target,mean,lo,hi
2.5931726,2.702477,2.3347447,3.1891377
3.1672716,3.4602935,2.9641728,4.189815
2.4746385,3.2310574,2.7163765,3.8757787
2.5509362,3.026178,2.4282546,3.807749
2.1373417,2.6307108,2.1063323,3.19365
1.7445829,2.0414476,1.6485851,2.3872085
1.7499595,2.066972,1.5369201,2.6415122
3.2643802,2.4808667,1.9387648,3.0089042
2.4658046,2.9564514,2.4319544,3.3564332
2.358268,2.709357,2.025358,3.4095273
2.1362355,2.4768753,1.9382446,3.063795
2.232104,2.3809888,1.772535,2.9985662
2.0569317,2.1282773,1.47126,2.6633744
1.8907422,1.8295267,1.3520961,2.3015687
2.61508,2.71331,2.1971552,3.3264372
2.4780807,2.522056,1.9553457,3.0445135
2.3475149,2.2356014,1.716684,2.8596058
2.2883074,2.343134,1.8348459,2.965969
1.5077957,1.6909398,1.0354207,2.2795687
1.3769561,1.5651027,1.0015777,2.08025
1.3854364,1.5908247,1.1848295,2.1060216
1.6404147,2.003865,1.4951392,2.5757163
1.5515301,1.8670218,1.457134,2.2501826
1.8802419,1.7384074,1.149539,2.1559165
1.6888909,1.6956502,1.2269319,2.1810744
1.3750097,1.5786326,0.99592346,2.0119808
1.2938359,1.3720433,1.0264752,1.8677723
1.3703035,1.5026659,0.97194314,2.055714
1.5883126,1.8538468,1.142491,2.3966365
1.4883579,1.7777326,1.165379,2.4025893
1.3874615,1.7377543,1.0342757,2.2004173
1.4943277,1.6972624,1.0661293,2.2637975
1.5589353,1.5188789,0.98147064,1.9967654
1.3507843,1.3619667,0.9493941,1.9416727
1.3562243,1.3050748,0.8792384,1.8769675
1.6551791,1.7350063,1.2771536,2.1993592
1.5784546,1.7304796,1.1902306,2.5347376
1.5892786,1.6150078,1.1027374,2.4369624
1.5763836,1.7955407,1.2349899,2.195506
1.6171257,1.5129973,0.98454726,1.9463181
1.4269342,1.5051724,0.88638866,2.0947301
1.3542476,1.3573908,0.8929239,1.765246
1.253662,1.4456924,0.7949992,2.0504012
1.8474857,2.0293958,1.2806269,2.5889535
1.8603139,1.6325785,1.0176742,2.0729825
1.9036222,1.7179662,1.2335941,2.2613533
1.9795693,2.515375,2.037511,2.985759
1.8313289,2.3440967,1.6890157,3.0126312
2.1226,2.2693977,1.7957051,2.835724
1.9358379,2.2146158,1.6814162,2.7750466
1.6488578,1.8557687,1.2732384,2.3353517
1.5283375,1.5031662,0.87922317,1.9583987
1.5838499,1.6822964,1.1422124,2.3909876
3.6746523,1.8153028,1.1830785,2.5047042
2.0096924,2.4507523,1.9141341,2.944181
1.6563807,2.2551599,1.7049625,2.9647613
1.4894643,2.0968523,1.5904174,2.6816583
1.6308112,1.9750556,1.4988517,2.51515
1.7038473,1.9031327,1.3590746,2.4476466
1.8086975,1.7772104,1.273117,2.3006845
1.5117108,1.4314187,0.9667788,1.9031668
1.4135512,1.5516042,0.99896646,2.3260882
1.7718899,2.1570163,1.6267598,2.6038713
1.6900754,1.9414032,1.4299833,2.3661313
1.6744857,1.901367,1.2858739,2.5695555
