target,mean,lo,hi
2.5931726,2.5483494,2.0352855,3.091588
3.1672716,3.588438,3.067196,4.1069684
2.4746385,3.0246837,2.4786053,3.555274
2.5509362,2.565067,2.1353185,3.0509214
2.1373417,2.2782211,1.6772625,2.8488436
1.7445829,1.8059031,1.2013141,2.3159702
1.7499595,1.9321028,1.512435,2.384728
3.2643802,2.9359314,2.5041323,3.443818
2.4658046,3.120582,2.690582,3.5223694
2.358268,2.444332,1.9766192,2.8161335
2.1362355,2.4197257,1.9207759,3.0734491
2.232104,2.3176272,1.9058607,2.6673346
2.0569317,1.9925188,1.5213327,2.4367254
1.8907422,1.8460318,1.2145426,2.6127532
2.61508,2.6647277,2.0694718,3.2104888
2.4780807,2.2282395,1.7242329,2.7603383
2.3475149,1.980725,1.4733988,2.67654
2.2883074,2.0228481,1.5776653,2.4411309
1.5077957,1.532044,0.94138926,2.051092
1.3769561,1.4931843,1.0927974,2.0134838
1.3854364,1.640363,1.1201745,2.0323088
1.6404147,2.089906,1.3754702,2.7010565
1.5515301,1.788912,1.281176,2.3291485
1.8802419,1.8454895,1.3359113,2.3657343
1.6888909,1.5291803,0.87398255,1.9933693
1.3750097,1.381113,0.73629725,1.9455929
1.2938359,1.2236326,0.66464216,1.7996544
1.3703035,1.3902631,0.84628475,1.985574
1.5883126,2.1606305,1.4935338,2.753267
1.4883579,1.6567872,1.1797788,2.1473546
1.3874615,1.6105914,1.2379729,2.014391
1.4943277,1.4677956,0.90292543,2.009422
1.5589353,1.4178702,0.73752576,1.9845006
1.3507843,1.4369053,0.90809,1.9733088
1.3562243,1.5093955,0.94561154,2.0290453
1.6551791,1.5216098,0.94556683,1.9687163
1.5784546,1.3918451,0.95516944,1.8517318
1.5892786,1.3707536,0.93901557,1.7606683
1.5763836,1.4756659,0.83234555,2.0534916
1.6171257,1.5609865,1.0229173,2.0825672
1.4269342,1.4492741,0.8877233,2.0557845
1.3542476,1.5404962,0.8360012,2.2404723
1.253662,1.4214268,0.7542122,1.9547927
1.8474857,1.8277771,1.2170426,2.5290632
1.8603139,1.6985449,1.2377307,2.1637723
1.9036222,1.8702924,1.5200672,2.2884083
1.9795693,2.5905309,2.1256025,3.0516472
1.8313289,2.2653863,1.686861,2.9676526
2.1226,2.0427284,1.6221161,2.7001505
1.9358379,1.9594467,1.3067324,2.64791
1.6488578,1.6641616,1.0477583,2.2762897
1.5283375,1.3284558,0.9058069,1.828925
1.5838499,1.4261422,0.9080367,1.9947762
3.6746523,2.3301275,1.8404632,2.7993996
2.0096924,2.4183915,1.738786,3.0644896
1.6563807,1.8983922,1.4569787,2.3826895
1.4894643,1.793502,1.3626139,2.2059698
1.6308112,1.8864778,1.266748,2.3177779
1.7038473,1.708013,1.0565188,2.2681289
1.8086975,1.579878,1.1043471,2.059639
1.5117108,1.467762,0.7542806,1.9231081
1.4135512,1.7058073,1.2031884,2.2301168
1.7718899,1.7975982,1.2667688,2.3553977
1.6900754,1.6219463,1.05496,2.0918877
1.6744857,1.493732,0.9537183,2.055801
1.7051746,1.7371075,1.3083128,2.1012383
1.6631075,1.6587107,1.1678632,2.1877317
1.4909339,1.5370932,0.96393347,1.9804133
1.3455092,1.7443843,1.1017082,2.4319966
1.3404161,1.414745,0.87768334,1.931535
2.2378886,2.3259335,1.9161156,2.8667996
2.3088512,2.0822995,1.5136511,2.4926078
2.2089725,2.1257153,1.6242827,2.6825964
2.4765897,3.0013435,2.538051,3.5590014
2.3765302,2.7332387,2.1055965,3.2888148
2.3630807,2.341721,1.7310942,2.8653374
2.0138338,2.1485913,1.6377057,2.6044345
1.8190742,1.7330763,1.3433654,2.1594667
1.7955627,1.7584344,1.2867676,2.127146
3.9862552,2.5347795,1.8249784,3.0058365
2.5977259,2.7522378,1.9840782,3.3399353
2.0529826,2.2399106,1.6292862,2.6787236
1.8358516,2.0359244,1.6121846,2.5032392
2.0338664,2.0992217,1.6162542,2.5707004
2.228806,2.0433984,1.506662,2.5357378
2.4504619,1.9258488,1.1840657,2.525027
1.8344002,1.8991017,1.2259841,2.3849964
1.6842126,2.045848,1.4380982,2.7677996
2.5715938,2.232776,1.7823162,2.8265624
2.1779854,1.971368,1.4689344,2.4796352
2.0482311,1.8835126,1.301851,2.45422
2.0400121,1.8896827,1.2139835,2.3694003
2.1191463,1.911377,1.4702224,2.2865748
2.009936,1.9522455,1.4813795,2.3314145
1.8209743,1.8806797,1.3813685,2.3905387
1.6887293,1.906451,1.3873715,2.3638632
1.7074683,1.7944497,1.3755658,2.2740214
2.489339,2.6253366,1.871358,3.1626327
1.9357593,2.2134402,1.5078586,2.6618824
1.8775582,2.434748,1.9967752,3.0321033
3.80521,3.956502,3.3476324,4.452291
3.278504,3.443877,2.9613733,3.9932225
2.8729746,2.8381693,2.274176,3.3080685
2.5109053,2.3657606,1.942948,2.8328195
1.9287193,1.802627,1.337525,2.2869723
1.7837917,1.9484003,1.4035127,2.5275147
4.2162,3.7563224,3.2563233,4.2925534
2.5961773,3.285394,2.7549806,3.8402536
2.3211281,2.87228,2.3659256,3.3523347
2.2211182,2.824749,2.2074752,3.375227
2.5391657,2.4449909,1.9215375,2.9541335
2.1396542,2.1841571,1.6800196,2.67533
1.9310008,2.3805587,1.9513539,2.97153
3.887687,2.816992,2.097032,3.575423
2.9955494,2.524611,2.082259,3.008555
