rep,method,ce_mean,ce_max
0,SA-BNO,3.3780235497715694e-08,2.384185791015625e-07
0,PostAgg,3.754481525675146e-08,1.788139343261719e-07
0,Centroid,0.0820059850811958,0.330232560634613
1,SA-BNO,2.583954561430346e-08,1.788139343261719e-07
1,PostAgg,2.3282172634253584e-08,2.384185791015625e-07
1,Centroid,0.0660183355212211,0.2641406059265136
2,SA-BNO,3.2570678598631275e-08,1.788139343261719e-07
2,PostAgg,3.1390229082717276e-08,1.788139343261719e-07
2,Centroid,0.078932024538517,0.4078633189201355
3,SA-BNO,2.9939982937321474e-08,2.384185791015625e-07
3,PostAgg,3.285647665052238e-08,2.384185791015625e-07
3,Centroid,0.0835408866405487,0.3148972988128662
4,SA-BNO,2.392276599039178e-08,1.788139343261719e-07
4,PostAgg,2.8022332898558492e-08,1.788139343261719e-07
4,Centroid,0.0778772383928299,0.4088712334632873
