support,rmse,mae,crps,coverage90,width90,rep,method
point,0.2683102524491329,0.1811334232673813,0.1460616584573161,0.675,0.4082952735062883,0,SA-BNO
small,0.2309442411247685,0.1667386692975586,0.1312598339610887,0.6583333333333333,0.3514550690021755,0,SA-BNO
medium,0.1508044685064285,0.1092319270659488,0.0858809563463791,0.7,0.2918045980270675,0,SA-BNO
large,0.081247592399365,0.0610423646876039,0.0462441486286022,0.9,0.2789411228760058,0,SA-BNO
wide,0.0576745024350873,0.0424924132800523,0.0355358483693118,0.9583333333333334,0.2767195062185152,0,SA-BNO
union,0.131975233286577,0.1001464810528711,0.0749916161123806,0.7541666666666667,0.2919572433420845,0,SA-BNO
point,0.2655080386515895,0.1808020882393191,0.1491840682373223,0.6,0.3237938155429835,0,Centroid
small,0.2221272483279716,0.1556804821505347,0.1236226381197857,0.6708333333333333,0.3231635352075878,0,Centroid
medium,0.1699881539594752,0.1225693440758243,0.0946378991662581,0.7375,0.3232036154574921,0,Centroid
large,0.1111989365441973,0.0863366533116507,0.0621211202309774,0.8291666666666667,0.3228321290306425,0,Centroid
wide,0.1464866181154114,0.101506006911196,0.0786910729978536,0.7875,0.3229149593071488,0,Centroid
union,0.2902609660514408,0.1942765703499379,0.1613550513756907,0.5958333333333333,0.3228623946699593,0,Centroid
point,0.2655080386515895,0.1808020882393191,0.1491840682373223,0.6,0.3237938155429835,0,PostAgg
small,0.218729583577675,0.1523018102385398,0.1210198317010524,0.675,0.310438747510989,0,PostAgg
medium,0.1674375570028642,0.1192127570653349,0.094971536340727,0.7041666666666667,0.2943567598375825,0,PostAgg
large,0.0909548995889557,0.0688415180561861,0.0510674840619521,0.8791666666666667,0.2888817955968565,0,PostAgg
wide,0.0684703974239415,0.0537499452522427,0.0407275802664157,0.9541666666666668,0.2876559698013947,0,PostAgg
union,0.1351457822938972,0.1033953970994383,0.0768827547357317,0.7625,0.2925094452195022,0,PostAgg
point,0.225739269331116,0.1615808681543337,0.1251438873580789,0.7208333333333333,0.3987478259471745,1,SA-BNO
small,0.1806960421264234,0.1399636219746119,0.1078175874384986,0.7,0.3453858615094269,1,SA-BNO
medium,0.1302984717073051,0.1011382131101061,0.0743295963462312,0.7541666666666667,0.2908664297943677,1,SA-BNO
large,0.0813849660659874,0.0638703792469918,0.0477080271489541,0.8833333333333333,0.2793220872041715,1,SA-BNO
wide,0.0553838142850912,0.0444698395264291,0.0349481630750738,0.975,0.2772218598048763,1,SA-BNO
