support,method,rmse_mean,rmse_sd,mae_mean,mae_sd,crps_mean,crps_sd,coverage90_mean,coverage90_sd,width90_mean
large,Centroid,0.11195649539224088,0.007825520028431013,0.08358366573868556,0.006133610519367109,0.06316233752943776,0.005602222198420906,0.8508333333333333,0.03272889481109245,0.320841057323601
large,PostAgg,0.08700874731048272,0.010659821429110324,0.06701373420325596,0.008809382454118395,0.05087068995193822,0.006153132697953263,0.8875,0.02871676823352129,0.2888156193877988
large,SA-BNO,0.079325958297441,0.007246873384624447,0.05992170332215703,0.006621362292841327,0.04682332572750708,0.004531041921731578,0.9033333333333333,0.028473915938783158,0.27754926374737277
medium,Centroid,0.15258243287893927,0.014359572010377306,0.11433324744724868,0.008343046360084715,0.08758439493458756,0.007097335184611298,0.7458333333333333,0.023753654689565383,0.32130336519905545
medium,PostAgg,0.14395051236257383,0.01828614947685245,0.10749850412058601,0.010781184845711164,0.08290801220870958,0.009698495296844925,0.7416666666666667,0.03280836614171587,0.2939815651356309
medium,SA-BNO,0.13945666811140905,0.01136820370747278,0.10341450255050351,0.00606848872273334,0.07978544657808374,0.006163257560677083,0.74,0.026938716458741047,0.2896590132438558
point,Centroid,0.22101833356657274,0.033475238326150375,0.15526165253758734,0.022715775533758756,0.12566107211845537,0.01944650281198449,0.6316666666666666,0.034935456360424305,0.32151417769941487
point,PostAgg,0.22101833356657274,0.033475238326150375,0.15526165253758734,0.022715775533758756,0.12566107211845537,0.01944650281198449,0.6316666666666666,0.034935456360424305,0.32151417769941487
point,SA-BNO,0.24187761558725734,0.019389229866107936,0.17164267355762886,0.011961289732675734,0.13536657758342535,0.01125922422728495,0.6833333333333333,0.03668086846178959,0.39864255014247624
small,Centroid,0.20207802005699843,0.017405096609214743,0.14468340003119465,0.007698965076157815,0.11437010860278156,0.00683413852600753,0.665,0.00756912588524373,0.3209448288538427
small,PostAgg,0.19815200200512492,0.016892212632721823,0.14188826631097556,0.0071604169149685395,0.11219369957423875,0.0062741881026832525,0.6683333333333333,0.015195485440675402,0.30899264889994094
small,SA-BNO,0.20433857439858452,0.023006801190320853,0.14902644028202244,0.013397911333992372,0.11585651475737677,0.011799688712189905,0.6825,0.03178705187126773,0.3456267133379884
union,Centroid,0.2669632870368459,0.021899416506901564,0.18246016708513874,0.017953595639406218,0.15131496370740555,0.015414709426433092,0.6091666666666666,0.045965717901738694,0.321329982878859
union,PostAgg,0.11937950372622337,0.00907922089198423,0.08996766674461179,0.007773670549025743,0.06818000416716877,0.005090308759474745,0.8008333333333333,0.028167406301925973,0.29230822404154366
union,SA-BNO,0.11817107826595304,0.008249443030156655,0.08885040056056552,0.006833524696630622,0.0671998975694457,0.004447363121294347,0.7958333333333333,0.03807430600520222,0.29001763110600537
wide,Centroid,0.15578440272382726,0.007172263367657307,0.11132593780560887,0.006601333780634689,0.08564373635168664,0.004853086497890104,0.7625,0.026187093937451108,0.3210122693209391
wide,PostAgg,0.06636175736162228,0.0031143853391673395,0.0508507113113437,0.002665656766418364,0.04056053619163902,0.0018615386615651063,0.9508333333333333,0.016509677296799065,0.28766002334392293
wide,SA-BNO,0.06025042062902354,0.00354933144042729,0.04469600005881248,0.0020926212954627444,0.036983380337198515,0.0017095736410123804,0.9541666666666666,0.01317615691736823,0.2755087379554583
