rep,method,ce_mean,ce_max
0,SA-BNO,1.0035863199503447e-16,4.90059381963448e-16
0,PostAgg,6.635154665285413e-17,2.931682674400804e-16
0,Centroid,0.1265872943883159,0.4055578736639867
1,SA-BNO,9.963225042078708e-17,6.38378239159465e-16
1,PostAgg,5.4846535299524213e-17,3.8857805861880484e-16
1,Centroid,0.1284200027195747,0.4212310384406009
2,SA-BNO,9.159502583483416e-17,2.983724378680108e-16
2,PostAgg,4.992547716388407e-17,2.220446049250313e-16
2,Centroid,0.1153995410608253,0.4552253799169966
3,SA-BNO,9.975256298061507e-17,4.996003610813204e-16
3,PostAgg,6.341451073022669e-17,3.3306690738754696e-16
3,Centroid,0.122980813896064,0.5108861866786949
4,SA-BNO,9.899836484437984e-17,3.8857805861880484e-16
4,PostAgg,5.851872805773262e-17,3.226585665316861e-16
4,Centroid,0.1167437403379917,0.4673619152990651
5,SA-BNO,9.861984276091083e-17,4.649058915617843e-16
5,PostAgg,5.540489941835425e-17,2.3592239273284576e-16
5,Centroid,0.1220964151349032,0.4088372599264036
6,SA-BNO,9.304416368231468e-17,4.440892098500626e-16
6,PostAgg,5.2351243999548826e-17,2.7755575615628914e-16
6,Centroid,0.1059846193060557,0.4443488025290593
7,SA-BNO,9.23905591788954e-17,4.440892098500626e-16
7,PostAgg,5.808687677990449e-17,2.7755575615628914e-16
7,Centroid,0.1108853000047964,0.3245131919907402
8,SA-BNO,1.0080437461319758e-16,4.440892098500626e-16
8,PostAgg,6.283175206251572e-17,3.6082248300317592e-16
8,Centroid,0.1291770747990018,0.4492232871862507
9,SA-BNO,8.568449769152941e-17,4.3021142204224816e-16
9,PostAgg,5.778634949021866e-17,3.191891195797325e-16
9,Centroid,0.1284979754927833,0.4313636616855629
