rep,sa_fit_seconds,centroid_fit_seconds,sa_sigma,centroid_sigma,elapsed_seconds
0,6.44226336479187,13.661409616470335,0.0649038106203079,0.1136481463909149,20.42924761772156
1,5.690953731536865,3.408141851425171,0.064503937959671,0.1153364926576614,9.195210695266724
2,3.662285566329956,3.128548145294189,0.0648002326488494,0.1144098341464996,6.910876035690308
3,3.7992777824401855,3.3158082962036133,0.0642509311437606,0.1138093695044517,7.217856884002685
4,3.660294532775879,5.758031129837036,0.0648216158151626,0.1137104555964469,9.631859540939333
5,3.447744131088257,2.62220311164856,0.0644510090351104,0.1148283779621124,6.181546926498413
6,4.181566953659058,3.500949621200561,0.0641359910368919,0.1132756769657135,7.795150518417358
7,3.665448904037476,2.9805808067321777,0.0614990964531898,0.1103723272681236,6.819791793823242
8,3.362863302230835,2.6708338260650635,0.0652978420257568,0.1153251379728317,6.145282030105591
9,3.705668449401856,3.0480642318725586,0.0649294406175613,0.1157935112714767,6.869427442550659
