support,rmse,mae,crps,coverage90,width90,rep,method
point,0.167847858570883,0.134366109441978,0.103261574849217,0.6225,0.3069731797640902,0,SA-BNO
small,0.1347272537462078,0.1074778402268241,0.083816640002475,0.6925,0.2822975590119507,0,SA-BNO
medium,0.0524734412005251,0.041884923732217,0.04284972893475,0.8675,0.2293575438044018,0,SA-BNO
large,0.0297325132986126,0.0231230805671291,0.0329954359821457,0.95,0.2175482372027281,0,SA-BNO
circle,0.0407673658430391,0.0318396177512778,0.0343428893399362,0.93,0.221929602471609,0,SA-BNO
union,0.0592151259547284,0.0462594808721787,0.0453210129985003,0.8725,0.2296166679678589,0,SA-BNO
point,0.265001570693737,0.2149213493237094,0.1667233172097891,0.565,0.4064647447798384,0,Centroid
small,0.2115874382483165,0.1684137477697876,0.1293504510304456,0.645,0.4077203166794623,0,Centroid
medium,0.1320040632973945,0.1034439352596516,0.0788760919580855,0.86,0.4074030845841415,0,Centroid
large,0.1776659213179834,0.1382739049199284,0.1059664062137109,0.7475,0.406977013897655,0,Centroid
circle,0.1698273430252614,0.1356982293600312,0.1027001669376328,0.7575,0.4075124648513689,0,Centroid
union,0.2351788405875957,0.1848102538483974,0.1463257656429474,0.645,0.4072068841836246,0,Centroid
point,0.265001570693737,0.2149213493237094,0.1667233172097891,0.565,0.4064647447798384,0,PostAgg
small,0.2174199824473766,0.1721226390989518,0.1330700075997677,0.65,0.3978264896240603,0,PostAgg
medium,0.077791609175734,0.0618569421444355,0.0529852536282517,0.965,0.379878284390335,0,PostAgg
large,0.0406263888146868,0.0323162105409365,0.0407527292224013,0.995,0.3755224839643696,0,PostAgg
circle,0.0614589162451079,0.0472684118459003,0.0456387688054818,0.9775,0.377179554433116,0,PostAgg
union,0.099921096576441,0.0799023165883895,0.064287341946175,0.92,0.3791068344904324,0,PostAgg
point,0.1609756981635734,0.1291212475864656,0.0998670527049206,0.6575,0.3075027517555432,1,SA-BNO
small,0.1341176348869882,0.1052633801334861,0.0857746919935571,0.67,0.2786719171447165,1,SA-BNO
medium,0.0564254128212042,0.0438354404902192,0.0410320113774751,0.8675,0.2278109350554632,1,SA-BNO
large,0.0289089820511132,0.0230426602127724,0.0335067491301371,0.9325,0.2161903203907437,1,SA-BNO
circle,0.0389184467490081,0.0301105188014532,0.0355358672184309,0.9225,0.2203330286403723,1,SA-BNO
union,0.0614944080272622,0.0481877994195722,0.0443058696600362,0.865,0.2282249270398054,1,SA-BNO
point,0.2753332497623011,0.2180111671220706,0.1720500934279901,0.56,0.4115678204829822,1,Centroid
small,0.2175200414144088,0.1728749735417629,0.1321757570228617,0.655,0.4104094544972727,1,Centroid
medium,0.1377099656646456,0.1058191769440948,0.0811208348568257,0.845,0.4107269238516106,1,Centroid
large,0.1549271122067509,0.1217952776206128,0.0914734556151207,0.785,0.4104507522111036,1,Centroid
