support,method,rmse_mean,rmse_sd,mae_mean,mae_sd,crps_mean,crps_sd,coverage90_mean,coverage90_sd,width90_mean
circle,Centroid,0.15679959635540502,0.006298446167432623,0.12398288755302884,0.005911379329460447,0.09346811081424344,0.0041353151604580215,0.79425,0.019330818801994835,0.4060173298812388
circle,PostAgg,0.05975495953012996,0.0029718625669172692,0.04665876513796651,0.0024859924305972066,0.04573638267215568,0.0014684334600638474,0.98375,0.006588078458684098,0.3782338814513475
circle,SA-BNO,0.03975216804932127,0.0016948819353113215,0.030957140708006342,0.0012913550447295583,0.03564880296643425,0.0012265878033765668,0.9175000000000001,0.017480147469502567,0.21975688996502515
large,Centroid,0.15837259698548306,0.00904551699330024,0.12441006814565829,0.007271674034930111,0.09464807050910815,0.005117271146877305,0.7835,0.02199115984006095,0.4061435628304708
large,PostAgg,0.04226263080095819,0.003264486348339404,0.03387070160801297,0.002796596067028433,0.04109966093422767,0.001187606580433551,0.9964999999999999,0.0029344694769431576,0.3767430762683246
large,SA-BNO,0.02823671591067246,0.0012238004433450396,0.02222939516374274,0.0008901261513666356,0.03318944006495985,0.001173303898896683,0.9324999999999999,0.013228756555322903,0.21564202254141468
medium,Centroid,0.1361831754281801,0.004650873436326275,0.10754996308686701,0.004200560770217334,0.08199609748781764,0.0034617840927127553,0.8397499999999999,0.02066431438226028,0.406042981447472
medium,PostAgg,0.08542451044461476,0.003341804578437366,0.06801978849185139,0.002623181465787387,0.056257372993745135,0.0016980388274557797,0.9435,0.01149879220710689,0.38072715185235756
medium,SA-BNO,0.05327619386056744,0.0018285659079560347,0.0421359899236088,0.0011879663245521464,0.04090577225938814,0.0013504425767628257,0.88275,0.014455391151170312,0.22692630612759318
point,Centroid,0.27269363361774174,0.01091688008554281,0.21632701235627358,0.009393032349228475,0.1728683457971177,0.009324301809249003,0.5435000000000001,0.025717482164646067,0.4061169799858303
point,PostAgg,0.27269363361774174,0.01091688008554281,0.21632701235627358,0.009393032349228475,0.1728683457971177,0.009324301809249003,0.5435000000000001,0.025717482164646067,0.4061169799858303
point,SA-BNO,0.16411009314792982,0.009360584734176714,0.12937684881243997,0.007475241962932473,0.10281509221310514,0.005406355988253207,0.63375,0.027919775946251602,0.30335352550070704
small,Centroid,0.21972181267646823,0.008440328848585506,0.17431076940569634,0.007289782241425747,0.13395871481161273,0.005694061709849576,0.64125,0.022492282627109658,0.4059880584666825
small,PostAgg,0.22343300469186858,0.008600311755318592,0.17726726882502977,0.007414494662700337,0.13691853795492048,0.0058323721607688546,0.629,0.026697898377546082,0.39697377541639683
small,SA-BNO,0.13126159113077454,0.007039367711895052,0.1031307417034831,0.005813150573429776,0.08213707608084792,0.0047177582299535855,0.68775,0.02623213677914934,0.27716859227150853
union,Centroid,0.21425736913375118,0.014526358581786674,0.16789437463193865,0.010826541778725779,0.1298220315733731,0.009656763774545848,0.66325,0.01922274405200491,0.40626610643875277
union,PostAgg,0.10201871903051092,0.0043427429867065725,0.0810055409734529,0.0038418700919740463,0.0640400609742766,0.0023833733806117334,0.9040000000000001,0.014249756333199382,0.38007931621043406
union,SA-BNO,0.05944602529584677,0.002967605516000266,0.04690875512006334,0.0021079571626107705,0.043750682095240356,0.001993647128876791,0.8602500000000001,0.015610270835432531,0.22734088451303752
