rep,N,method,support,rmse
0,100000,SA-BNO,large,0.014610366223855
0,100000,SA-BNO,circle,0.0177943244856043
0,100000,Centroid,large,0.1212421865212643
0,100000,Centroid,circle,0.1093581551734197
0,100000,PostAgg,large,0.0272685438495715
0,100000,PostAgg,circle,0.0333775239773783
1,100000,SA-BNO,large,0.0131401862828907
1,100000,SA-BNO,circle,0.0187286614306581
1,100000,Centroid,large,0.1131306916177912
1,100000,Centroid,circle,0.1022009776987356
1,100000,PostAgg,large,0.0244467706845467
1,100000,PostAgg,circle,0.0340515065011999
2,100000,SA-BNO,large,0.0112469096495078
2,100000,SA-BNO,circle,0.0156072796493071
2,100000,Centroid,large,0.1085616663866979
2,100000,Centroid,circle,0.0969276215629045
2,100000,PostAgg,large,0.0230441498590196
2,100000,PostAgg,circle,0.0346208522390424
0,10000,SA-BNO,large,0.0202016376560124
0,10000,SA-BNO,circle,0.0232475269117794
1,10000,SA-BNO,large,0.0159262127007734
1,10000,SA-BNO,circle,0.0229726532117514
2,10000,SA-BNO,large,0.0157476552216622
2,10000,SA-BNO,circle,0.0216020417463534
0,200000,SA-BNO,large,0.0121577274450418
0,200000,SA-BNO,circle,0.0149661576913369
1,200000,SA-BNO,large,0.010623708988254
1,200000,SA-BNO,circle,0.0159073182244435
2,200000,SA-BNO,large,0.0096319825732783
2,200000,SA-BNO,circle,0.0132013433704588
0,50000,SA-BNO,large,0.0175913170659689
0,50000,SA-BNO,circle,0.0199417704595076
1,50000,SA-BNO,large,0.0143909440282078
1,50000,SA-BNO,circle,0.0201279593310716
2,50000,SA-BNO,large,0.0136551208776472
2,50000,SA-BNO,circle,0.0174748560380032
