rep,width,method,rmse
0,0.0,SA-BNO,0.1480909861700618
0,0.0,Centroid,0.2729611079450537
0,0.0,PostAgg,0.2729611079450537
0,0.04,SA-BNO,0.157042444292155
0,0.04,Centroid,0.251264535932299
0,0.04,PostAgg,0.2537313014033354
0,0.08,SA-BNO,0.1201525887070629
0,0.08,Centroid,0.1865079958491707
0,0.08,PostAgg,0.189212123429691
0,0.12,SA-BNO,0.0831007000450498
0,0.12,Centroid,0.1512041111464605
0,0.12,PostAgg,0.1258384296739227
0,0.16,SA-BNO,0.0532862379514408
0,0.16,Centroid,0.1408725274176295
0,0.16,PostAgg,0.0878507594201813
0,0.2,SA-BNO,0.0415591503907896
0,0.2,Centroid,0.1531565392810478
0,0.2,PostAgg,0.0657574693892657
0,0.24,SA-BNO,0.0397673680949136
0,0.24,Centroid,0.1553945985476008
0,0.24,PostAgg,0.0560368444867334
0,0.28,SA-BNO,0.0305652971464615
0,0.28,Centroid,0.1597266961798981
0,0.28,PostAgg,0.0494582688003434
0,0.32,SA-BNO,0.0286178881614611
0,0.32,Centroid,0.1557624433916824
0,0.32,PostAgg,0.0406623020956743
0,0.36,SA-BNO,0.0223729041949674
0,0.36,Centroid,0.1649776561043662
0,0.36,PostAgg,0.0350992596417052
0,0.4,SA-BNO,0.021605798758057
0,0.4,Centroid,0.1730422399025483
0,0.4,PostAgg,0.0301624652827163
1,0.0,SA-BNO,0.1664776962126173
1,0.0,Centroid,0.266444882580523
1,0.0,PostAgg,0.266444882580523
1,0.04,SA-BNO,0.1465982047430697
1,0.04,Centroid,0.2283079919641806
1,0.04,PostAgg,0.2313143143898288
1,0.08,SA-BNO,0.1134966803257842
1,0.08,Centroid,0.1797106347010685
1,0.08,PostAgg,0.1865869296810679
1,0.12,SA-BNO,0.0737618453373822
1,0.12,Centroid,0.1316446305152979
1,0.12,PostAgg,0.1260022694146511
1,0.16,SA-BNO,0.0529163735288021
1,0.16,Centroid,0.1247837761631174
1,0.16,PostAgg,0.0890211921333897
1,0.2,SA-BNO,0.0427396933937129
1,0.2,Centroid,0.1437150311659454
1,0.2,PostAgg,0.0612104493824004
1,0.24,SA-BNO,0.0384230287944218
1,0.24,Centroid,0.1435736866602624
1,0.24,PostAgg,0.0556818719502158
1,0.28,SA-BNO,0.0319209262753947
1,0.28,Centroid,0.1583647447710459
1,0.28,PostAgg,0.0459096953156211
1,0.32,SA-BNO,0.0270303086064752
1,0.32,Centroid,0.155274118346181
1,0.32,PostAgg,0.0376644847701567
1,0.36,SA-BNO,0.0257594330786622
1,0.36,Centroid,0.1575931541707365
1,0.36,PostAgg,0.0326560141592197
1,0.4,SA-BNO,0.0210527872183792
1,0.4,Centroid,0.1535519954355867
1,0.4,PostAgg,0.0261617157886333
2,0.0,SA-BNO,0.1561047708192612
2,0.0,Centroid,0.2713196895505402
2,0.0,PostAgg,0.2713196895505402
2,0.04,SA-BNO,0.1460359357029558
2,0.04,Centroid,0.2602963161761923
2,0.04,PostAgg,0.2625259148302952
2,0.08,SA-BNO,0.1085369565797072
2,0.08,Centroid,0.1922697408051451
2,0.08,PostAgg,0.19835358274681
2,0.12,SA-BNO,0.0726687485085761
2,0.12,Centroid,0.136223824808028
2,0.12,PostAgg,0.1253145329748535
2,0.16,SA-BNO,0.0508707349971911
2,0.16,Centroid,0.1385429367470733
2,0.16,PostAgg,0.088024303722114
2,0.2,SA-BNO,0.0383111484694609
2,0.2,Centroid,0.1379929774138062
2,0.2,PostAgg,0.0626307347908276
2,0.24,SA-BNO,0.0337593199185108
2,0.24,Centroid,0.1489062196045525
2,0.24,PostAgg,0.0571629037646832
2,0.28,SA-BNO,0.0309951456156133
2,0.28,Centroid,0.1544557966333652
2,0.28,PostAgg,0.0508470389714204
2,0.32,SA-BNO,0.0262195052381457
2,0.32,Centroid,0.1453750894533201
2,0.32,PostAgg,0.0395736877619795
2,0.36,SA-BNO,0.0203103332532282
2,0.36,Centroid,0.1520849898207153
2,0.36,PostAgg,0.0329492110949847
2,0.4,SA-BNO,0.0162789130887269
2,0.4,Centroid,0.1594249790830669
2,0.4,PostAgg,0.027765583017267
3,0.0,SA-BNO,0.1582067269692845
3,0.0,Centroid,0.2637332569844892
3,0.0,PostAgg,0.2637332569844892
3,0.04,SA-BNO,0.1400287605302508
3,0.04,Centroid,0.2519446070923645
3,0.04,PostAgg,0.2540640625719623
3,0.08,SA-BNO,0.1135893035520018
3,0.08,Centroid,0.184680135041627
3,0.08,PostAgg,0.1852042724374654
3,0.12,SA-BNO,0.0764706720383981
3,0.12,Centroid,0.1353059910136409
3,0.12,PostAgg,0.1308202597202859
3,0.16,SA-BNO,0.0561749603580623
3,0.16,Centroid,0.1362780563458973
3,0.16,PostAgg,0.090817622991747
3,0.2,SA-BNO,0.0453237932207539
3,0.2,Centroid,0.1492578661789826
3,0.2,PostAgg,0.0673984311507966
3,0.24,SA-BNO,0.0384095437892272
3,0.24,Centroid,0.1558791717610016
3,0.24,PostAgg,0.0555695389819287
3,0.28,SA-BNO,0.0328761547514882
3,0.28,Centroid,0.1542553315689547
