width,method,rmse_mean,rmse_sd
0.0,Centroid,0.2765433033477015,0.013076570812915463
0.0,PostAgg,0.2765433033477015,0.013076570812915463
0.0,SA-BNO,0.15944181294915696,0.009520581166263744
0.04,Centroid,0.2532446454171532,0.010515246594422593
0.04,PostAgg,0.25591134841380997,0.010565908454167373
0.04,SA-BNO,0.1475973989143244,0.007424806746143972
0.08,Centroid,0.18519307579076288,0.00613928240801089
0.08,PostAgg,0.19020001509469836,0.005658784973911373
0.08,SA-BNO,0.11210648639838698,0.006835436169480922
0.12,Centroid,0.14043750309892045,0.007850194203678102
0.12,PostAgg,0.12929421457447238,0.003940315642931609
0.12,SA-BNO,0.0761528770912293,0.004582881758888293
0.16,Centroid,0.13472276272046352,0.006593292800208569
0.16,PostAgg,0.08719913625033512,0.0027774117280603815
0.16,SA-BNO,0.05362706318519472,0.003973458226399616
0.2,Centroid,0.14545588308738985,0.007388864818572815
0.2,PostAgg,0.066718551862106,0.0034051874073749294
0.2,SA-BNO,0.04317864077256718,0.0028490285293118287
0.24,Centroid,0.14962476848665043,0.005724264714282359
0.24,PostAgg,0.055857151780322335,0.0025109807054032782
0.24,SA-BNO,0.03773990264248607,0.0025872632529161913
0.28,Centroid,0.15491988693781802,0.008626686166082335
0.28,PostAgg,0.04923661582424467,0.00402853858585316
0.28,SA-BNO,0.03286140162776967,0.002262882588779992
0.32,Centroid,0.15478889244730215,0.008481209620587883
0.32,PostAgg,0.04144235091840659,0.00267550053501632
0.32,SA-BNO,0.027922148363971076,0.0014855495609995505
0.36,Centroid,0.1573775148475808,0.0055377074489220395
0.36,PostAgg,0.034987590779681235,0.0017286763955784146
0.36,SA-BNO,0.02439678279070058,0.002151428830717741
0.4,Centroid,0.15736712214918058,0.009203162044585527
0.4,PostAgg,0.02895308831878417,0.001633262371984104
0.4,SA-BNO,0.02049003002751191,0.0016672188834542792
